epoch,train_loss,train_acc,train_acc_pert,val_loss,val_acc,val_acc_pert
0,0.07770325055277566,0.0,0.0,0.01929334958864225,0.9975091116922395,0.2923801355735139
1,0.017392097892495174,0.0,0.0,0.01588228751794091,0.9977772469456131,0.3306921511083036
2,0.014937407562254439,0.0,0.0,0.012698516427294922,0.998024105488717,0.3978695818097205
3,0.011637857383177607,0.0,0.0,0.011120932265331649,0.998051823259474,0.4377289336879511
4,0.008963444595627318,0.0,0.0,0.008264711015513754,0.9984850496859163,0.5557183542431475
5,0.006601044399858482,0.0,0.0,0.006381410952009311,0.9987169214197107,0.5978858480313877
6,0.004767177337372816,0.0,0.0,0.004237594843059694,0.9990433535060367,0.6910701294068817
7,0.0035275227867959565,0.0,0.0,0.003331615051695383,0.9992092098738696,0.7524308538785925
8,0.0028155491497579097,0.0,0.0,0.0028071054412804014,0.9993390129493164,0.7820345290877797
9,0.00235309001510958,0.0,0.0,0.0025243122548967187,0.9993884735279255,0.8071695066115878
